pfam_accession	pfam_id	description
PF27633.1	DUF8359	Domain of unknown function (DUF8359)
PF27647.1	DUF8360	Domain of unknown function (DUF8360)
PF27674.1	DUF8361	Domain of unknown function (DUF8361)
PF27819.1	DUF8362	Domain of unknown function (DUF8362)
PF27939.1	DUF8363	Domain of unknown function (DUF8363)
PF27965.1	DUF8364	Domain of unknown function (DUF8364)
PF28038.1	DUF8365	Domain of unknown function (DUF8365)
PF28039.1	DUF8366	Domain of unknown function (DUF8366)
PF28040.1	DUF8367	Domain of unknown function (DUF8367)
PF28041.1	DUF8368	Domain of unknown function (DUF8368)
PF28122.1	DUF8369	Domain of unknown function (DUF8369)
PF28123.1	DUF8370	Domain of unknown function (DUF8370)
PF28130.1	DUF8371	Domain of unknown function (DUF8371)
PF28131.1	DUF8372	Domain of unknown function (DUF8372)
PF28154.1	DUF8373	Domain of unknown function (DUF8373)
PF28160.1	DUF8374	Domain of unknown function (DUF8374)
PF28210.1	DUF8375	Domain of unknown function (DUF8375)
PF28252.1	DUF8376	Domain of unknown function (DUF8376)
PF28254.1	DUF8377	Domain of unknown function (DUF8377)
PF28257.1	DUF8378	Domain of unknown function (DUF8378)
PF28292.1	DUF8379	Domain of unknown function (DUF8379)
PF28313.1	DUF8380	Repeat of unknown function (DUF8380)
PF28323.1	DUF8381	Domain of unknown function (DUF8381)
PF28346.1	DUF8382	Domain of unknown function (DUF8382)
PF28357.1	DUF8383	Domain of unknown function (DUF8383)
PF28361.1	DUF8384	Domain of unknown function (DUF8384)
PF28363.1	DUF8385	Domain of unknown function (DUF8385)
PF28378.1	DUF8386	Domain of unknown function (DUF8386)
PF28382.1	DUF8387	Domain of unknown function (DUF8387)
PF28383.1	DUF8388	Domain of unknown function (DUF8388)
PF28390.1	DUF8389	Domain of unknown function (DUF8389)
PF28405.1	DUF8390	Domain of unknown function (DUF8390)
PF28429.1	DUF8391	Domain of unknown function (DUF8391)
PF28431.1	DUF8392	Domain of unknown function (DUF8392)
PF28432.1	DUF8393	Domain of unknown function (DUF8393)
PF28433.1	DUF8394	Domain of unknown function (DUF8394)
PF28435.1	DUF8395	Domain of unknown function (DUF8395)
PF28436.1	DUF8396	Family of unknown function (DUF8396)
PF28437.1	DUF8397	Domain of unknown function (DUF8397)
PF28439.1	DUF8398	Domain of unknown function (DUF8398)
PF28440.1	DUF8399	Domain of unknown function (DUF8399)
PF28442.1	DUF8400	Domain of unknown function (DUF8400)
PF28443.1	DUF8401	Family of unknown function (DUF8401)
PF28444.1	DUF8402	Domain of unknown function (DUF8402)
PF28445.1	DUF8403	Domain of unknown function (DUF8403)
PF28446.1	DUF8404	Domain of unknown function (DUF8404)
PF28464.1	DUF8405	Domain of unknown function (DUF8405)
PF28465.1	DUF8406	Domain of unknown function (DUF8406)
PF28466.1	DUF8407	Domain of unknown function (DUF8407)
PF28467.1	DUF8408	Domain of unknown function (DUF8408)
PF28468.1	DUF8409	Domain of unknown function (DUF8409)
PF28469.1	DUF8410	Domain of unknown function (DUF8410)
PF28471.1	DUF8411	Domain of unknown function (DUF8411)
PF28474.1	DUF8412	Domain of unknown function (DUF8412)
PF28475.1	DUF8413	Domain of unknown function (DUF8413)
PF28477.1	DUF8414	Domain of unknown function (DUF8414)
PF28478.1	DUF8415	Domain of unknown function (DUF8415)
PF28497.1	DUF8416	Family of unknown function (DUF8416)
PF28506.1	DUF8417	Domain of unknown function (DUF8417)
PF28509.1	DUF8418	Domain of unknown function (DUF8418)
PF28510.1	DUF8419	Domain of unknown function (DUF8419)
PF05811.19	DUF842	Eukaryotic protein of unknown function (DUF842)
PF28511.1	DUF8420	Domain of unknown function (DUF8420)
PF28513.1	DUF8421	Domain of unknown function (DUF8421)
PF28514.1	DUF8422	Domain of unknown function (DUF8422)
PF28524.1	DUF8423	Family of unknown function (DUF8423)
PF28525.1	DUF8424	Domain of unknown function (DUF8424)
PF28527.1	DUF8425	Domain of unknown function (DUF8425)
PF28530.1	DUF8426	Domain of unknown function (DUF8426)
PF28531.1	DUF8427	Domain of unknown function (DUF8427)
PF28532.1	DUF8428	Domain of unknown function (DUF8428)
PF28533.1	DUF8429	Coiled-coil region of unknown function (DUF8429)
PF28534.1	DUF8430	Domain of unknown function (DUF8430)
PF28535.1	DUF8431	Domain of unknown function (DUF8431)
PF28536.1	DUF8432	Domain of unknown function (DUF8432)
PF28541.1	DUF8433	Domain of unknown function (DUF8433)
PF28542.1	DUF8434	Domain of unknown function (DUF8434)
PF28543.1	DUF8435	Domain of unknown function (DUF8435)
PF28550.1	DUF8436	Domain of unknown function (DUF8436)
PF28554.1	DUF8437	Domain of unknown function (DUF8437)
PF28556.1	DUF8438	Domain of unknown function (DUF8438)
PF28557.1	DUF8439	Domain of unknown function (DUF8439)
PF28586.1	DUF8440	Family of unknown function (DUF8440)
PF28587.1	DUF8441	Domain of unknown function (DUF8441)
PF05832.18	DUF846	Eukaryotic protein of unknown function (DUF846)
PF05852.17	DUF848	Gammaherpesvirus protein of unknown function (DUF848)
PF05867.17	DUF851	Protein of unknown function (DUF851)
PF05895.18	DUF859	Siphovirus protein of unknown function (DUF859)
PF05904.17	DUF863	Plant protein of unknown function (DUF863)
PF05906.17	DUF865	Herpesvirus-7 repeat of unknown function (DUF865)
PF05910.18	DUF868	Plant protein of unknown function (DUF868)
PF01935.24	DUF87	Helicase HerA, central domain
PF05912.18	DUF870	Caenorhabditis elegans protein of unknown function (DUF870)
PF05917.16	DUF874	Helicobacter pylori protein of unknown function (DUF874)
PF05949.18	DUF881	Bacterial protein of unknown function (DUF881)
PF05957.19	DUF883	DUF883 N-terminal domain
PF19029.6	DUF883_C	DUF883 C-terminal glycine zipper region
PF05959.17	DUF884	Nucleopolyhedrovirus protein of unknown function (DUF884)
PF05960.18	DUF885	Bacterial protein of unknown function (DUF885)
PF05974.19	DUF892	Domain of unknown function (DUF892)
PF05979.18	DUF896	Bacterial protein of unknown function (DUF896)
PF05987.19	DUF898	Bacterial protein of unknown function (DUF898)
PF05988.19	DUF899	Bacterial protein of unknown function (DUF899)
PF05990.19	DUF900	Alpha/beta hydrolase of unknown function (DUF900)
PF06004.19	DUF903	Bacterial protein of unknown function (DUF903)
PF06006.18	DUF905	Bacterial protein of unknown function (DUF905)
PF06012.18	DUF908	Domain of Unknown Function (DUF908)
PF06025.18	DUF913	Domain of Unknown Function (DUF913)
PF06028.18	DUF915	Alpha/beta hydrolase of unknown function (DUF915)
PF06033.19	DUF918	Nucleopolyhedrovirus protein of unknown function (DUF918)
PF06034.17	DUF919	Nucleopolyhedrovirus protein of unknown function (DUF919)
PF01940.22	DUF92	Integral membrane protein DUF92
PF06037.18	DUF922	Bacterial protein of unknown function (DUF922)
PF06041.18	DUF924	Bacterial protein of unknown function (DUF924)
PF06048.18	DUF927	Domain of unknown function (DUF927)
PF06051.18	DUF928	Domain of Unknown Function (DUF928)
PF06053.18	DUF929	Domain of unknown function (DUF929)
PF06059.18	DUF930	Domain of Unknown Function (DUF930)
PF06067.17	DUF932	Domain of unknown function (DUF932)
PF06073.18	DUF934	Bacterial protein of unknown function (DUF934)
PF06075.19	DUF936	Plant protein of unknown function (DUF936)
PF06078.18	DUF937	Bacterial protein of unknown function (DUF937)
PF06080.19	DUF938	Protein of unknown function (DUF938)
PF06092.17	DUF943	Enterobacterial putative membrane protein (DUF943)
PF06097.17	DUF945	Bacterial protein of unknown function (DUF945)
PF06103.17	DUF948	Bacterial protein of unknown function (DUF948)
PF06107.18	DUF951	Bacterial protein of unknown function (DUF951)
PF06108.19	DUF952	Protein of unknown function (DUF952)
PF06115.18	DUF956	Domain of unknown function (DUF956)
PF06121.19	DUF959	Domain of Unknown Function (DUF959) 
PF06124.17	DUF960	Staphylococcal protein of unknown function (DUF960)
PF06125.18	DUF961	Bacterial protein of unknown function (DUF961)
PF06131.17	DUF963	Schizosaccharomyces pombe repeat of unknown function (DUF963)
PF06147.19	DUF968	Protein of unknown function (DUF968)
PF06149.19	DUF969	Protein of unknown function (DUF969)
PF06157.17	DUF973	Protein of unknown function (DUF973)
PF06161.17	DUF975	Protein of unknown function (DUF975)
PF06163.17	DUF977	Bacterial protein of unknown function (DUF977)
PF06166.19	DUF979	Protein of unknown function (DUF979)
PF06168.17	DUF981	Protein of unknown function (DUF981)
PF06169.18	DUF982	Protein of unknown function (DUF982)
PF06170.18	DUF983	Protein of unknown function (DUF983)
PF06173.19	DUF986	Protein of unknown function (DUF986)
PF06174.17	DUF987	Protein of unknown function (DUF987)
PF06186.17	DUF992	Protein of unknown function (DUF992)
PF06187.18	DUF993	Protein of unknown function (DUF993)
PF06191.18	DUF995	Protein of unknown function (DUF995)
PF06195.19	DUF996	Protein of unknown function (DUF996)
PF06196.18	DUF997	Protein of unknown function (DUF997)
PF06197.20	DUF998	Protein of unknown function (DUF998)
PF06198.17	DUF999	Protein of unknown function (DUF999)
PF12377.13	DuffyBP_N	Duffy binding protein N terminal 
PF05424.17	Duffy_binding	Duffy binding domain
PF21164.3	Dumpy_DPY	Dumpy, DPY module
PF22557.3	DuOB	Dual OB-containing domain
PF10204.15	DuoxA	Dual oxidase maturation factor
PF00674.25	DUP	DUP family
PF19398.5	DurB-like	Lantibiotic duramycin B-like
PF19375.5	DurN	DurN substrate-assisted peptide maturase
PF01207.24	Dus	Dihydrouridine synthase (Dus)
PF06337.18	DUSP	DUSP domain
PF00692.25	dUTPase	dUTPase
PF08761.17	dUTPase_2	dUTPase
PF08137.18	DVL	DVL family
PF19060.6	DVNP	DVNP family
PF28216.1	DVU0150	DVU0150-like
PF28080.1	DVU2496_C	Lipoprotein DVU_2496-like, C-terminal domain
PF08783.18	DWNN	DWNN domain
PF22030.3	DWORF	Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator DWORF
PF01666.24	DX	DX module
PF13288.13	DXPR_C	DXP reductoisomerase C-terminal domain
PF08436.18	DXP_redisom_C	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain
PF02670.23	DXP_reductoisom	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF13292.12	DXP_synthase_N	1-deoxy-D-xylulose-5-phosphate synthase
PF25007.2	DYH2-5-8_CC	Dynein axonemal heavy chain 2/5/8 coiled-coil
PF09742.15	Dymeclin	Dyggve-Melchior-Clausen syndrome protein
PF21499.4	DYN1_lid	DYN1, AAA+ ATPase lid domain
PF12455.14	Dynactin	Dynein associated protein 
PF07426.17	Dynactin_p22	Dynactin subunit p22
PF05502.19	Dynactin_p62	Dynactin p62 family
PF21808.3	Dynamin-like_hel_bact	Bacterial dynamin-like protein, helical domain
PF01031.26	Dynamin_M	Dynamin central region
PF00350.30	Dynamin_N	Dynamin family
PF04912.20	Dynamitin	Dynamitin 
PF21264.4	DYNC2H1_AAA_dom	Cytoplasmic dynein 2 heavy chain 1, AAA+ ATPase domain
PF17852.7	Dynein_AAA_lid	Dynein heavy chain AAA lid domain
PF15867.11	Dynein_attach_N	Dynein attachment factor N-terminus
PF18199.7	Dynein_C	Dynein heavy chain C-terminal domain
PF03028.22	Dynein_heavy	Dynein heavy chain region D6 P-loop domain 
PF11540.14	Dynein_IC2	Cytoplasmic dynein 1 intermediate chain 2
PF01221.24	Dynein_light	Dynein light chain type 1 
PF22597.3	DYN_lid	Dynein heavy chain, ATPase lid domain
PF21105.4	DyP_N	DyP dimeric alpha+beta barrel domain
PF20628.4	Dyp_perox_C	Dyp-type peroxidase, C-terminal
PF04261.19	Dyp_perox_N	Dyp-type peroxidase, N-terminal
PF04440.22	Dysbindin	Dysbindin (Dystrobrevin binding protein 1)
PF14432.13	DYW_deaminase	DYW family of nucleic acid deaminases
PF20965.3	DZF_C	DZF C-terminal domain
PF07528.21	DZF_N	DZF N-terminal domain
PF13815.12	Dzip-like_N	Iguana/Dzip1-like DAZ-interacting protein N-terminal
PF25977.1	DZIP1	Cilium assembly protein DZIP1 domain
PF12773.14	DZR	Double zinc ribbon
PF18912.7	DZR_2	Double zinc ribbon domain
PF17492.8	D_CNTX	Delta Ctenitoxins
PF00122.26	E1-E2_ATPase	P-type ATPase actuator domain
PF14463.11	E1-N	E1 N-terminal domain
PF16191.11	E1_4HB	Ubiquitin-activating enzyme E1 four-helix bundle
PF02221.21	E1_DerP2_DerF2	ML domain
PF00676.26	E1_dh	Dehydrogenase E1 component
PF16190.12	E1_FCCH	Ubiquitin-activating enzyme E1 FCCH domain
PF09358.16	E1_UFD	Ubiquitin fold domain
PF08199.16	E2	Bacteriophage E2-like protein
PF26395.1	E2-CBASS	Type II CBASS E2 protein
PF20272.4	E2-Crich	Cysteine-rich domain, C-terminal to E2 domain
PF20273.4	E2-E1mid	Domain observed between E2 and E1 domains
PF20298.4	E2-ntca	Prokaryotic E2 domain
PF22755.3	E217_gp28	E217 collar protein gp28
PF22756.3	E217_gp29	E217 gateway protein gp29
PF22764.2	E217_Gp32	Tail fiber protein gp32   
PF22759.2	E217_GP41	Baseplate hub gp41
PF16421.11	E2F_CC-MB	E2F transcription factor CC-MB domain
PF11570.14	E2R135	Coiled-coil receptor-binding R-domain of colicin E2
PF08825.16	E2_bind	E2 binding domain
PF02817.23	E3_binding	e3 binding domain
PF11547.15	E3_UbLigase_EDD	E3 ubiquitin ligase EDD
PF13764.12	E3_UbLigase_R4	E3 ubiquitin-protein ligase UBR4
PF18091.8	E3_UbLigase_RBR	E3 Ubiquitin Ligase RBR C-terminal domain
PF19423.5	E3_UBR4_N	E3 ubiquitin-protein ligase UBR4 N-terminal
PF09743.15	E3_UFM1_ligase	E3 UFM1-protein ligase 1
PF00518.23	E6	Early Protein (E6)
PF00527.24	E7	E7 protein, Early protein
PF17467.8	E7R	Viral Protein E7
PF28138.1	EA1	Egg apparatus-1 protein
PF12180.14	EABR	TSG101 and ALIX binding domain of CEP55
PF19953.5	EACC1	Effector Associated Constant Component 1
PF19955.6	EAD1	Effector-associated domain 1
PF19954.6	EAD10	Effector-associated domain 10
PF19964.6	EAD11	Effector-associated domain 11
PF19956.6	EAD2	Effector-associated domain 2
PF19959.5	EAD4	Effector-associated domain 4
PF19957.6	EAD5	Effector-associated domain 5
PF19958.6	EAD6	Effector-associated domain 6
PF19960.7	EAD7	Effector-associated domain 7
PF19961.6	EAD8	Effector-associated domain 8
PF19962.5	EAD9	Effector-associated domain 9
PF13935.12	Ead_Ea22	Ead/Ea22-like protein
PF09816.15	EAF	RNA polymerase II transcription elongation factor
PF27833.1	EAF5	Chromatin modification-related protein EAF5
PF07904.19	Eaf7	Chromatin modification-related protein EAF7
PF16713.11	EAGR_box	Enriched in aromatic and glycine Residues box
PF00563.26	EAL	EAL domain
PF00892.27	EamA	EamA-like transporter family
PF20566.4	Eap1	eIF4E-associated protein
PF04157.23	EAP30	EAP30/Vps36 family
PF10238.15	Eapp_C	E2F-associated phosphoprotein
PF07897.17	EAR	Ethylene-responsive binding factor-associated repression
PF07381.18	EarA	EarA-like
PF10093.15	EarP	Elongation-Factor P (EF-P) rhamnosyltransferase EarP
PF22354.3	Eas	Hydrophobin
PF15981.11	EAV_GP5	Envelope glycoprotein GP 5 of equine arteritis virus
PF01309.24	EAV_GS	Equine arteritis virus small envelope glycoprotein 
PF01683.24	EB	EB module
PF03271.23	EB1	EB1-like C-terminal motif
PF05937.17	EB1_binding	EB-1 Binding Domain
PF11556.14	EBA-175_VI	Erythrocyte binding antigen 175
PF25698.2	EBNA2_Core	EBNA-2 core transactivation domain
PF25697.2	EBNA2_N	EBNA-2 N-terminal domain
PF28008.1	EboA	Metabolite traffic protein EboA
PF22307.2	Ebola-like_HR1-HR2	Envelope glycoprotein GP2-like, HR1-HR2
PF05505.18	Ebola_NP	Ebola nucleoprotein
PF05241.18	EBP	EXPERA (EXPanded EBP superfamily) 
PF21204.3	Ebp1_C	Ell binding protein Ebp1, C-terminal
PF05890.18	Ebp2	Eukaryotic rRNA processing protein EBP2
PF09007.18	EBP50_C	EBP50, C-terminal
PF17255.9	EbsA	EbsA-like protein
PF02905.20	EBV-NA1	Epstein Barr virus nuclear antigen-1, DNA-binding domain
PF05009.18	EBV-NA3	Epstein-Barr virus nuclear antigen 3 (EBNA-3)
PF09459.17	EB_dh	Ethylbenzene dehydrogenase
PF18740.8	EC042_2821	EC042_2821-like Restriction Endonuclease-like domain
PF19053.7	EccD	EccD-like transmembrane domain
PF11203.14	EccE	Putative type VII ESX secretion system translocon, EccE
PF18432.8	ECD	Extracellular Cadherin domain
PF26358.1	EcdD_BsdD_detox	EcdD/BsdD phenolic detoxification
PF07155.18	ECF-ribofla_trS	ECF-type riboflavin transporter, S component
PF27471.1	EcfA1_C	Energy-coupling factor transporter EcfA1 C-terminal domain
PF12822.13	ECF_trnsprt	ECF transporter, substrate-specific component
PF00378.26	ECH_1	Enoyl-CoA hydratase/isomerase
PF16113.11	ECH_2	Enoyl-CoA hydratase/isomerase
PF13699.12	eCIS_core	eCIS core domain
PF02958.27	EcKL	Ecdysteroid kinase-like family
PF12855.13	Ecl1	TORC1 inhibitor Ecl family
PF04736.18	Eclosion	Eclosion hormone
PF05782.17	ECM1	Extracellular matrix protein 1 (ECM1)
PF21203.3	ECM10	ER membrane protein complex subunit 10
PF15463.12	ECM11	Extracellular mutant protein 11
PF13001.14	ECM29_N	Proteasome component ECM29, N-terminal
PF12454.14	Ecm33	GPI-anchored cell wall organization protein
PF07669.18	Eco57I	Eco57I restriction-modification methylase
PF08463.16	EcoEI_R_C	EcoEI R protein C-terminal
PF12008.14	EcoR124_C	Type I restriction and modification enzyme - subunit R C terminal
PF02963.24	EcoRI	Restriction endonuclease EcoRI
PF09019.18	EcoRII-C	EcoRII C terminal
PF09217.15	EcoRII-N	Restriction endonuclease EcoRII, N-terminal
PF13651.12	EcoRI_methylase	Adenine-specific methyltransferase EcoRI
PF03974.19	Ecotin	Ecotin
PF18649.8	EcpB_C	EcpB C-terminal domain
PF27328.1	EcpD_C	EcpD C-terminal domain
PF15137.11	ECPIP	Exosomal polycystin 1 interacting protein
PF27348.1	EcpR_N	EcpR N-terminal domain
PF14382.13	ECR1_N	Exosome complex exonuclease RRP4 N-terminal region
PF22625.3	ECR1_N_2	Exosome RNA binding protein RRP4 N-terminal domain
PF05975.18	EcsB	Bacterial ABC transporter protein EcsB
PF12787.13	EcsC	EcsC protein family
PF15820.11	ECSCR	Endothelial cell-specific chemotaxis regulator
PF14784.12	ECSIT_C	C-terminal domain of the ECSIT protein
PF06239.18	ECSIT_N	Evolutionarily conserved signalling intermediate in Toll pathway
PF21243.4	ECT2_BRCT0	ECT2, BRCT0 domain
PF21242.4	ECT2_PH	ECT2, PH domain
PF06457.16	Ectatomin	Ectatomin
PF08917.17	ecTbetaR2	Transforming growth factor beta receptor 2 ectodomain
PF06339.19	Ectoine_synth	Ectoine synthase
PF16598.11	Edc3_linker	Linker region of enhancer of mRNA-decapping protein 3
PF21289.4	EDC4_C	Enhancer of mRNA-decapping protein 4, C-terminal
PF14381.13	EDR1_CTR1_ARMC3_pept	EDR1/CTR1/ARMC3, peptidase-like
PF07059.18	EDR2_C	Protein ENHANCED DISEASE RESISTANCE 2, C-terminal
PF22910.2	EDR4-like_1st	Enhanced disease resistance 4-like, N-terminal domain
PF23788.2	EDRF1_N	EDRF1 N-terminal
PF18117.7	EDS1_EP	Enhanced disease susceptibility 1 protein EP domain
PF21131.4	eEFSec_4th	eEFSec C-terminal RIFT domain
PF15863.11	EELM2	Extended EGL-27 and MTA1 homology domain
PF22447.3	EEP_ig-like	Endonuclease/exonuclease/phosphatase family, ig-like domain
PF10587.15	EF-1_beta_acid	Eukaryotic elongation factor 1 beta central acidic region
PF07299.17	EF-G-binding_N	Elongation factor G-binding protein, N-terminal
PF22042.3	EF-G_D2	Elongation factor G domain 2
